Index,Name,User_Id,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
4917,Project X Zone,10294,3DS,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39,70,53,7.3,146,T
4918,The House of The Dead III,10215,X,2002,Shooter,Sega,0.29,0.08,0,0.01,0.39,72,30,7.3,9,M
4919,Fire Emblem: Fuuin no Tsurugi,10299,GBA,2002,Role-Playing,Nintendo,0,0,0.39,0,0.39,72,30,7.3,9,M
4920,NBA Jam,10290,X360,2010,Sports,Electronic Arts,0.27,0.09,0,0.03,0.39,75,30,7,24,E
4921,Dancing with the Stars: We Dance!,10257,DS,2008,Misc,Activision,0.36,0,0,0.03,0.39,75,30,7,24,E
4922,NBA Live 09,10288,PSP,2008,Sports,Electronic Arts,0.23,0.07,0.03,0.06,0.39,75,30,7.3,8,E
4923,Ener-G: Gym Rockets,10235,DS,2008,Sports,Ubisoft,0.36,0,0,0.03,0.39,75,30,7.3,8,E
4924,Laser Blast,10252,2600,1981,Action,Activision,0.37,0.02,0,0,0.39,75,30,7.3,8,E
4925,Skylanders: SuperChargers,10214,PS3,2015,Action,Activision,0.17,0.16,0,0.07,0.39,75,30,4.2,6,E10+
4926,Thrasher Presents: Skate and Destroy,10274,PS,1998,Sports,Take-Two Interactive,0.22,0.15,0,0.03,0.39,75,30,4.2,6,E10+
4927,Are You Smarter than a 5th Grader? Make the Grade,10212,DS,2008,Misc,THQ,0.36,0,0,0.03,0.39,75,30,4.2,6,E
4928,Donkey Konga 2,10238,GC,2004,Misc,Nintendo,0.3,0.08,0,0.01,0.39,69,30,6,9,T
4929,Transformers: Fall of Cybertron,10238,PS3,2012,Action,Activision,0.19,0.14,0,0.06,0.39,77,32,8.2,87,T
4930,SpongeBos Truth or Square (US sales),10245,PSP,2009,Action,THQ,0.39,0,0,0,0.39,77,32,8.2,87,T
4931,Tear Ring Saga Yutona Eiyuu Senki,10245,PS,2001,Role-Playing,Enterbrain,0,0,0.37,0.03,0.39,77,32,8.2,87,T
4932,FIFA 12,10266,3DS,2011,Sports,Electronic Arts,0.08,0.26,0,0.05,0.39,77,32,8.2,87,T
4933,Alpha Protocol,10230,X360,2010,Role-Playing,Sega,0.23,0.12,0,0.04,0.39,63,68,7.2,201,M
4934,Taiko no Tatsujin Wii: Ketteiban,10216,Wii,2011,Misc,Namco Bandai Games,0,0,0.39,0,0.39,63,68,7.2,201,M
4935,Combat of Giants: Dinosaurs 3D,10267,3DS,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39,44,18,5.3,9,E10+
4936,SSX 3,10211,X,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.39,92,27,8.7,25,E
4937,Final Fantasy Crystal Chronicles: The Crystal Bearers,10232,Wii,2009,Action,Square Enix,0.21,0.07,0.08,0.03,0.39,66,53,7.6,70,T
4938,Madden NFL 2005,10280,GBA,2004,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39,79,9,7.6,5,E
4939,BattleTanx: Global Assault,10238,N64,1999,Action,3DO,0.31,0.07,0,0,0.39,79,9,7.6,5,E
4940,All-Star Baseball 2000,10234,N64,1999,Sports,Acclaim Entertainment,0.36,0.03,0,0,0.39,79,9,7.6,5,E
4941,Custom Robo V2,10236,N64,2000,Fighting,Nintendo,0,0,0.34,0.05,0.39,79,9,7.6,5,E
4942,Extreme-G: XG2,10242,N64,1998,Racing,Acclaim Entertainment,0.31,0.07,0,0,0.39,79,9,7.6,5,E
4943,SpongeBos Truth or Square (US sales),10247,Wii,2009,Action,THQ,0.38,0.01,0,0,0.39,79,9,7.6,5,E
4944,Sonic Lost World,10244,WiiU,2013,Platform,Sega,0.23,0.12,0.01,0.03,0.39,63,64,7.3,462,E10+
4945,Super Monkey Ball: Step & Roll,10220,Wii,2010,Action,Sega,0.15,0.19,0,0.04,0.39,63,64,7.3,462,E10+
4946,Chibi-Robo! Plug into Adventure!,10204,GC,2005,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39,63,64,7.3,462,E10+
4947,Iron Man 2,10226,PS3,2010,Action,Sega,0.14,0.18,0,0.07,0.39,41,28,5.2,36,T
4948,Jampack Winter 2003 (RP-T),10226,PS2,2003,Misc,Sony Computer Entertainment,0.19,0.15,0,0.05,0.39,41,28,5.2,36,T
4949,Star Wars The Clone Wars: Republic Heroes,10273,X360,2009,Action,LucasArts,0.18,0.17,0,0.04,0.39,43,37,6.3,19,T
4950,Monster Jam: Urban Assault,10288,DS,2008,Racing,Activision,0.36,0,0,0.03,0.39,43,37,6.3,19,E
4951,Kengo: Master of Bushido,10265,PS2,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39,62,13,8.4,8,M
4952,Monopoly Streets,10282,PS3,2010,Misc,Electronic Arts,0.16,0.17,0,0.06,0.39,64,11,6.1,9,E
4953,Blood Omen 2,10262,PS2,2002,Action,Eidos Interactive,0.19,0.15,0,0.05,0.39,67,18,8.8,19,M
4954,Condemned 2: Bloodshot,10205,PS3,2008,Action,Sega,0.17,0.16,0,0.07,0.39,82,37,8.1,89,M
4955,Super Fire ProWrestling,10291,SNES,1991,Fighting,Human Entertainment,0,0,0.39,0,0.39,82,37,8.1,89,M
4956,Cabelas Dangerous Hunts 2,10219,PS2,2005,Sports,Activision,0.19,0.15,0,0.05,0.39,82,37,5.6,14,T
4957,Disney Princess: Enchanting Storybooks,10261,Wii,2011,Misc,THQ,0.25,0.1,0,0.03,0.39,82,37,5.6,14,E
4958,Chessmaster,10272,PS2,2003,Misc,Ubisoft,0.19,0.15,0,0.05,0.39,79,9,7.3,13,E
4959,Fatal Fury,10208,SNES,1992,Fighting,Takara,0,0,0.39,0,0.39,79,9,7.3,13,E
4960,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,10229,G,2001,Role-Playing,Banpresto,0,0,0.39,0,0.39,79,9,7.3,13,E
4961,Ice Age 2: The Meltdown,10300,PS2,2006,Platform,Vivendi Games,0.19,0.15,0,0.05,0.39,68,19,8,6,E10+
4962,The Sims 2,10262,GBA,2005,Simulation,Electronic Arts,0.28,0.1,0,0.01,0.39,58,11,7.5,6,E10+
4963,Hitman: Blood Money,10276,X360,2006,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.39,82,53,8.7,102,M
4964,Advance Wars: Dual Strike,10272,DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90,49,9,163,E
4965,Super Famista 3,10282,SNES,1994,Sports,Namco Bandai Games,0,0,0.39,0,0.39,90,49,9,163,E
4966,Auto Modellista,10276,PS2,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39,66,20,7.5,13,E
4967,WipeOut 3 The Game,10249,Wii,2012,Action,Activision,0.36,0,0,0.03,0.39,66,20,7.5,13,E
4968,Dance Party: Pop Hits,10271,Wii,2009,Misc,Nordic Games,0,0.37,0,0.02,0.39,66,20,7.5,13,E
4969,Destiny: The Taken King,10213,PS3,2015,Shooter,Activision,0.19,0.11,0.02,0.06,0.39,66,20,5.5,81,T
4970,Tom Clancys Ghost Recon 2: Summit Strike,10256,X,2005,Shooter,Ubisoft,0.29,0.08,0,0.01,0.39,84,40,7.2,35,T
4971,Tiger Woods PGA Tour 08,10294,PS2,2007,Sports,Electronic Arts,0.19,0.15,0,0.05,0.39,65,10,7.2,35,E
4972,Farming Simulator 2015,10202,PS3,2015,Simulation,Koch Media,0.12,0.21,0,0.06,0.39,65,10,7.2,35,E
4973,Robert Ludlum's The Bourne Conspiracy,10278,PS3,2008,Action,Vivendi Games,0.18,0.14,0,0.06,0.39,70,47,7.6,43,T
4974,One Piece: Unlimited World Red,10258,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.39,75,5,7.6,26,T
4975,Samurai Warriors Chronicles,10210,3DS,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39,61,30,7.7,35,T
4976,Karaoke Revolution Presents American Idol Encore,10214,PS2,2008,Misc,Konami Digital Entertainment,0.19,0.15,0,0.05,0.39,76,4,7.7,35,E
4977,Airlock,10248,2600,1981,Action,Data Age,0.36,0.02,0,0,0.39,76,4,7.7,35,E
4978,Tokimeki Memorial 2,10244,PS,1999,Simulation,Konami Digital Entertainment,0,0,0.36,0.03,0.39,76,4,7.7,35,E
4979,Hooked! Again: Real Motion Fishing,10249,Wii,2009,Sports,505 Games,0.36,0,0,0.03,0.39,76,4,7.7,35,E
4980,SpongeBob vs The Big One: Beach Party Cook Off,10290,DS,2009,Adventure,THQ,0.24,0.11,0,0.04,0.39,76,4,7.7,35,E
4981,EA Sports Active 2,10299,X360,2010,Sports,Electronic Arts,0.18,0.16,0,0.04,0.39,68,21,5.4,9,E
4982,Resident Evil Zero,10274,PS4,2016,Action,Capcom,0.1,0.17,0.06,0.05,0.39,68,21,5.4,9,E
4983,MotoGP 08,10240,PS3,2008,Racing,Capcom,0.07,0.24,0,0.08,0.39,65,21,6,9,E
4984,Red Faction: Armageddon,10229,X360,2011,Shooter,THQ,0.18,0.16,0.01,0.04,0.39,71,74,7,77,M
4985,Dungeon Siege III,10258,PS3,2011,Role-Playing,Square Enix,0.17,0.13,0.03,0.05,0.39,71,52,6.3,86,T
4986,Harry Potter: Quidditch World Cup,10236,GBA,2003,Sports,Electronic Arts,0.28,0.1,0,0.01,0.39,53,6,8.3,9,E
4987,Silent Hill: Homecoming,10221,PS3,2008,Action,Konami Digital Entertainment,0.18,0.14,0,0.06,0.38,71,41,6.9,145,M
4988,Evil Dead: Fistfull of Boomstick,10224,PS2,2003,Action,THQ,0.19,0.15,0,0.05,0.38,71,41,6.9,145,M
4989,Triple Play 97,10267,PS,1996,Sports,Electronic Arts Victor,0.21,0.15,0,0.03,0.38,71,41,6.9,145,M
4990,Super Soccer,10260,SNES,1991,Sports,Nintendo,0,0,0.38,0,0.38,71,41,6.9,145,M
4991,Skylanders: Trap Team,10221,XOne,2014,Action,Activision,0.28,0.07,0,0.04,0.38,78,22,7.1,15,E10+
4992,Shin Megami Tensei: Nocturne,10240,PS2,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38,82,42,8.8,86,M
4993,Wario Land II (GBC),10238,G,1998,Platform,Nintendo,0,0,0.38,0,0.38,82,42,8.8,86,M
4994,Homefront: The Revolution,10236,PS4,2016,Shooter,Deep Silver,0.08,0.22,0.03,0.05,0.38,48,43,3.9,216,M
4995,San Francisco Rush: Extreme Racing,10268,PS,1997,Racing,GT Interactive,0.21,0.15,0,0.03,0.38,48,43,3.9,216,M
4996,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,10292,PS,1998,Racing,Human Entertainment,0,0,0.36,0.03,0.38,48,43,3.9,216,M
4997,Farming Simulator 2013,10233,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.04,0.38,33,12,6.2,30,E
4998,Saints Row: The Third,10284,PC,2011,Action,THQ,0.16,0.16,0,0.06,0.38,84,22,8.1,1270,M
4999,ESPN College Hoops 2K5,10298,X,2004,Sports,Sega,0.29,0.08,0,0.01,0.38,86,18,8.3,11,E
5000,Looney Tunes: Acme Arsenal,10218,PS2,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38,38,10,3.9,7,E10+
5001,SD Gundam G Generation Spirits,10263,PS2,2007,Strategy,Namco Bandai Games,0,0,0.38,0,0.38,38,10,3.9,7,E10+
5002,Diner Dash: Sizzle & Serve,10241,DS,2007,Puzzle,Eidos Interactive,0.33,0.02,0,0.03,0.38,38,10,3.9,7,E10+
5003,Marvel: Ultimate Alliance,10259,PS3,2006,Role-Playing,Activision,0.33,0.02,0,0.03,0.38,78,35,7.6,49,T
5004,Madden NFL 11,10271,PSP,2010,Sports,Electronic Arts,0.35,0,0,0.03,0.38,78,35,7.6,49,E
5005,The Cat in the Hat,10276,GBA,2005,Platform,Jack of All Games,0.27,0.1,0,0.01,0.38,78,35,7.6,49,E
5006,FIFA 14,10223,Wii,2013,Sports,Electronic Arts,0,0.36,0,0.02,0.38,78,35,4.4,20,E
5007,Naruto: Clash of Ninja Revolution 2,10232,Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0,0.03,0.38,72,20,8.4,16,T
5008,Star Fox: Zero,10287,WiiU,2016,Shooter,Nintendo,0.18,0.1,0.08,0.03,0.38,69,82,7.4,669,E10+
5009,NFL GameDay 2002,10278,PS2,2001,Sports,Sony Computer Entertainment,0.19,0.15,0,0.05,0.38,51,18,4.6,5,E
5010,Turok: Evolution,10251,GC,2002,Shooter,Acclaim Entertainment,0.3,0.08,0,0.01,0.38,70,19,7,21,M
5011,NCAA Football 08,10247,PS3,2007,Sports,Electronic Arts,0.35,0,0,0.03,0.38,77,13,7.9,28,E
5012,Jam Sessions: Sing and Play Guitar (US sales),10275,DS,2007,Misc,Ubisoft,0.38,0,0,0,0.38,77,13,7.9,28,E
5013,Yoshi Touch & Go,10213,DS,2005,Platform,Nintendo,0.34,0.02,0,0.03,0.38,77,13,7.9,28,E
5014,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,10280,PS2,2002,Strategy,Namco Bandai Games,0,0,0.38,0,0.38,77,13,7.9,28,E
5015,Ice Age,10213,GBA,2002,Action,Ubisoft,0.27,0.1,0,0.01,0.38,47,11,7.9,28,E
5016,Viking: Battle for Asgard,10233,PS3,2008,Action,Sega,0.14,0.17,0,0.07,0.38,65,38,7.4,32,M
5017,Sega Superstars Tennis,10218,PS2,2008,Sports,Sega,0.1,0,0,0.28,0.38,70,9,8.3,4,E10+
5018,Headhunter,10282,PS2,2002,Action,Sega,0.19,0.15,0,0.05,0.38,74,24,7.8,19,M
5019,Junior Classic Games,10259,DS,2009,Misc,Avanquest,0.26,0.09,0,0.03,0.38,74,24,7.8,19,E
5020,Shin Megami Tensei: Devil Summoner,10292,SAT,1995,Role-Playing,Atlus,0,0,0.38,0,0.38,74,24,7.8,19,E
5021,Marvel Nemesis: Rise of the Imperfects,10203,GC,2005,Fighting,Electronic Arts,0.3,0.08,0,0.01,0.38,54,19,5.7,24,T
5022,Wolfenstein: The New Order,10231,X360,2014,Shooter,Bethesda Softworks,0.18,0.17,0,0.03,0.38,54,19,7.4,98,M
5023,ESPN Extreme Games,10261,PS,1994,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38,54,19,7.4,98,M
5024,Brunswick Pro Bowling,10275,Wii,2007,Sports,505 Games,0.35,0.01,0,0.03,0.38,52,11,5.4,23,E
5025,Ninja: Shadow of Darkness,10215,PS,1998,Action,Eidos Interactive,0.21,0.14,0,0.02,0.38,52,11,5.4,23,E
5026,SD Gundam G Generation-F,10282,PS,2000,Strategy,Namco Bandai Games,0,0,0.36,0.02,0.38,52,11,5.4,23,E
5027,Bratz: Rock Angelz,10281,PS2,2005,Misc,THQ,0.19,0.15,0,0.05,0.38,60,7,5.1,7,E
5028,FlatOut,10223,PS2,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,0.38,70,30,8.5,16,T
5029,Metal Gear Solid: Snake Eater 3D,10216,3DS,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38,78,46,7.8,167,M
5030,Raving Rabbids: Travel in Time 3D,10247,3DS,2011,Platform,Ubisoft,0.11,0.23,0,0.04,0.38,78,46,7.8,167,M
5031,Phoenix Wright: Ace Attorney - Dual Destinies,10260,3DS,2013,Adventure,Capcom,0,0,0.38,0,0.38,78,46,7.8,167,M
5032,SSX 3,10263,GC,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.38,92,27,8.7,45,E
5033,Etrian Odyssey IV: Legends of the Titans,10211,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38,92,27,8.7,45,E
5034,NCAA Football 11,10287,PS2,2010,Sports,Electronic Arts,0.19,0.15,0,0.05,0.38,92,27,8.7,45,E
5035,Lilo & Stitch 2: H\xc3\xa4msterviel Havoc,10263,GBA,2004,Action,Disney Interactive Studios,0.27,0.1,0,0.01,0.38,92,27,8.7,45,E
5036,LocoRoco,10229,PSP,2006,Platform,Sony Computer Entertainment,0.14,0.04,0.16,0.03,0.38,83,67,8.7,89,E
5037,Risk: Global Domination,10268,PS2,2003,Strategy,Atari,0.19,0.15,0,0.05,0.38,60,9,8.8,25,T
5038,Sword Art Online: Lost Song,10269,PSV,2015,Role-Playing,Namco Bandai Games,0.07,0.04,0.23,0.03,0.38,70,4,7.1,29,T
5039,Mobile Suit Gundam version 2.0,10271,PS,1996,Action,Namco Bandai Games,0,0,0.36,0.02,0.38,70,4,7.1,29,T
5040,Grandia Xtreme,10256,PS2,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38,68,16,6.5,15,T
5041,Tamagotchi Connection: Corner Shop 3,10250,DS,2007,Simulation,Atari,0.06,0,0.31,0.01,0.38,57,4,6.5,15,E
5042,Persona 5,10290,PS4,2016,Role-Playing,Atlus,0,0,0.38,0,0.38,57,4,6.5,15,E
5043,Silent Scope,10233,PS2,2000,Shooter,Konami Digital Entertainment,0.19,0.15,0,0.05,0.38,63,23,6.5,15,M
5044,Final Fantasy Adventure,10205,G,1991,Role-Playing,SquareSoft,0,0,0.38,0,0.38,63,23,6.5,15,M
5045,Dora The Explorer: Dora Saves the Snow Princess,10285,PS2,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.05,0.38,63,23,6.5,15,E
5046,The Incredible Hulk,10292,PS2,2008,Action,Sega,0.32,0.01,0,0.05,0.38,50,4,6,5,T
5047,Mercenaries 2: World in Flames,10287,PS2,2008,Shooter,Electronic Arts,0.21,0,0,0.17,0.38,49,10,7.4,31,T
5048,Zoo Tycoon (2013),10201,XOne,2013,Simulation,Microsoft Game Studios,0.18,0.17,0,0.03,0.38,49,10,7.4,31,T
5049,Ghost Trick: Phantom Detective,10265,DS,2010,Adventure,Capcom,0.17,0.07,0.12,0.02,0.38,83,60,9,127,T
5050,Skylanders Giants,10293,WiiU,2012,Action,Activision,0.22,0.12,0,0.03,0.38,80,8,6.9,22,E10+
5051,Tokimeki Memorial: Forever with You,10254,SAT,1996,Simulation,Konami Digital Entertainment,0,0,0.38,0,0.38,80,8,6.9,22,E10+
5052,MediEvil II,10212,PS,1999,Action,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38,80,8,6.9,22,E10+
5053,Hunter: The Reckoning,10254,X,2002,Action,Interplay,0.28,0.08,0,0.01,0.38,79,28,8.9,20,M
5054,MX vs. ATV Untamed,10209,PS2,2007,Racing,THQ,0.32,0.01,0,0.05,0.38,53,13,8.2,5,E
5055,Tales of Hearts,10289,PSV,2013,Role-Playing,Namco Bandai Games,0.11,0.11,0.09,0.07,0.38,53,13,8.2,5,E
5056,Dawn of Discovery,10222,PC,2009,Simulation,Ubisoft,0,0.32,0,0.06,0.38,82,32,8.8,132,T
5057,Rogue Trip: Vacation 2012,10275,PS,1998,Racing,GT Interactive,0.21,0.14,0,0.02,0.38,82,32,8.8,132,T
5058,Phantasy Star \xc3\x98,10219,DS,2008,Role-Playing,Sega,0.16,0,0.2,0.01,0.38,82,32,8.8,132,T
5059,Dai-4-Ji Super Robot Taisen,10212,SNES,1995,Strategy,Banpresto,0,0,0.38,0,0.38,82,32,8.8,132,T
5060,Football Manager 2016,10291,PC,2015,Simulation,Sega,0,0.36,0,0.02,0.38,81,34,7,99,E
5061,Get Fit with Mel ,10209,PS3,2010,Sports,Black Bean Games,0.15,0.16,0,0.07,0.38,73,4,5.8,4,E
5062,Ice Age: Dawn of the Dinosaurs,10211,DS,2009,Action,Activision,0.2,0.15,0,0.04,0.38,54,4,5.8,4,E
5063,Pokemon Channel,10270,GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38,55,21,5.7,23,E
5064,Taiko no Tatsujin Portable DX,10282,PSP,2011,Misc,Namco Bandai Games,0,0,0.38,0,0.38,55,21,5.7,23,E
5065,Sesame Street: Elmos A-to-Zoo Adventure,10203,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.35,0,0,0.02,0.38,55,21,5.7,23,EC
5066,Disney Sing It,10245,PS3,2008,Misc,Disney Interactive Studios,0.28,0.06,0,0.04,0.38,54,11,3.5,6,E
5067,Iron Man 2,10252,PSP,2010,Action,Sega,0.18,0.12,0,0.07,0.38,49,8,3.5,6,T
5068,Virtua Tennis 2009,10226,PS3,2009,Sports,Sega,0.09,0.22,0,0.06,0.38,70,34,6.5,22,E
5069,Moto Racer World Tour,10212,PS,2000,Racing,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38,70,34,6.5,22,E
5070,The Dog Island,10209,Wii,2007,Adventure,Ubisoft,0.34,0.01,0,0.03,0.38,70,4,8.1,12,E
5071,NCAA Final Four 2000,10248,PS,1999,Sports,989 Sports,0.21,0.14,0,0.02,0.38,70,4,8.1,12,E
5072,Lego Star Wars: The Force Awakens,10278,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.17,0,0.03,0.38,76,11,7,18,E10+
5073,Madagascar: Escape 2 Africa,10245,PS2,2008,Action,Activision,0.12,0,0,0.26,0.38,56,4,5.8,6,E
5074,Hangman,10215,2600,1978,Puzzle,Atari,0.35,0.02,0,0,0.38,56,4,5.8,6,E
5075,Need for Speed: Nitro,10216,DS,2009,Racing,Electronic Arts,0.21,0.13,0,0.04,0.38,70,7,6.3,7,E10+
5076,Tiger Woods PGA Tour 08,10210,PSP,2007,Sports,Electronic Arts,0.14,0.15,0,0.09,0.38,72,8,6.3,7,E
5077,Naruto Shippuden: Ultimate Ninja Heroes 3,10246,PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38,61,22,6.4,19,T
5078,Cabelas Dangerous Hunts 2009,10205,Wii,2008,Sports,Activision Value,0.35,0,0,0.03,0.38,61,22,4.5,6,T
5079,Petz Rescue: Wildlife Vet,10260,DS,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.38,61,22,4.5,6,E
5080,Wii Sports Club,10284,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38,68,21,7,106,E10+
5081,Age of Empires III,10235,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,81,52,7.7,524,T
5082,Dancing with the Stars: We Dance!,10268,Wii,2008,Misc,Activision,0.35,0,0,0.03,0.38,81,52,7.7,524,T
5083,TrackMania Turbo,10277,PS4,2016,Action,Ubisoft,0.04,0.28,0,0.06,0.38,81,52,7.9,111,E
5084,Mobile Suit Gundam: Extreme VS Full Boost,10235,PS3,2014,Fighting,Namco Bandai Games,0,0,0.38,0,0.38,81,52,7.9,111,E
5085,Gravitar,10234,2600,1982,Action,Atari,0.35,0.02,0,0,0.38,81,52,7.9,111,E
5086,LEGO Marvel Super Heroes,10264,DS,2013,Action,Warner Bros. Interactive Entertainment,0.22,0.13,0,0.03,0.38,81,52,4.8,5,E10+
5087,EyeToy Play 2,10253,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.38,78,30,7,9,E10+
5088,Dance Dance Revolution Ultramix 3,10283,X,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,0.38,75,16,8.6,8,E10+
5089,WWE SmackDown vs. Raw 2011,10254,PS2,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38,75,16,7.8,12,T
5090,Pro Evolution Soccer 2011 3D,10205,3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38,73,43,6.7,18,E
5091,Just Dance 2014,10222,PS3,2013,Misc,Ubisoft,0.17,0.14,0,0.06,0.38,77,6,7.1,25,E10+
5092,Disney Infinity 3.0,10292,XOne,2015,Action,Disney Interactive Studios,0.23,0.11,0,0.03,0.38,77,6,7.1,25,E10+
5093,Peppa Pig: The Game,10232,Wii,2009,Misc,Pinnacle,0,0.34,0,0.03,0.38,77,6,7.1,25,E10+
5094,Harry Potter and the Prisoner of Azkaban,10258,GC,2004,Action,Electronic Arts,0.29,0.08,0,0.01,0.38,67,22,7.3,8,E
5095,Paws & Claws: Pampered Pets,10253,DS,2009,Simulation,THQ,0.35,0,0,0.03,0.38,67,22,7.3,8,E
5096,Puppy Palace,10266,DS,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.38,67,22,7.3,8,E
5097,GRID 2,10244,PS3,2013,Racing,Codemasters,0.07,0.22,0.01,0.08,0.38,82,20,6.6,174,E
5098,Scooby-Doo! and the Spooky Swamp,10218,DS,2010,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0,0.03,0.37,82,20,6.6,174,E
5099,World of Warcraft: Legion,10276,PC,2016,Role-Playing,Activision,0.14,0.2,0,0.03,0.37,88,62,7.4,561,T
5100,Solaris,10261,2600,1986,Shooter,Atari,0.35,0.02,0,0,0.37,88,62,7.4,561,T
5101,Super Dragon Ball Z,10250,PS2,2006,Fighting,Atari,0.09,0.07,0.19,0.02,0.37,72,31,5.8,21,T
5102,Petz Rescue: Ocean Patrol,10228,DS,2008,Adventure,Ubisoft,0.35,0,0,0.03,0.37,72,31,5.8,21,E
5103,Just Dance 2016,10292,PS4,2015,Misc,Ubisoft,0.18,0.13,0,0.06,0.37,73,10,6.7,21,E10+
5104,The Golden Compass,10276,PSP,2007,Action,Sega,0.11,0.16,0,0.1,0.37,28,4,4.1,7,E10+
5105,Tobal 2,10269,PS,1997,Fighting,SquareSoft,0,0,0.35,0.02,0.37,28,4,4.1,7,E10+
5106,NBA 2K10,10235,Wii,2009,Sports,Take-Two Interactive,0.34,0,0,0.03,0.37,28,4,8.6,11,E
5107,Mirrors Edge Catalyst,10241,PS4,2016,Platform,Electronic Arts,0.12,0.17,0.03,0.06,0.37,69,50,4.7,589,T
5108,Tiger Woods PGA Tour 09,10275,PS2,2008,Sports,Electronic Arts,0.16,0,0,0.21,0.37,69,50,4.3,11,E
5109,Ultimate Spider-Man,10214,GC,2005,Action,Activision,0.29,0.07,0,0.01,0.37,76,36,7.2,21,T
5110,Imagine: Party Babyz,10291,Wii,2008,Simulation,Ubisoft,0.33,0.02,0,0.03,0.37,76,36,6.1,18,E
5111,NBA Inside Drive 2002,10256,X,2002,Sports,Microsoft Game Studios,0.28,0.08,0,0.01,0.37,76,26,6.1,18,E
5112,Major League Baseball 2K6,10234,X360,2006,Sports,Spike,0.34,0,0,0.03,0.37,66,22,3.9,37,E
5113,LEGO Star Wars III: The Clone Wars,10261,PSP,2011,Action,LucasArts,0.14,0.15,0,0.08,0.37,63,4,3.9,37,E10+
5114,Star Ocean 5: Integrity and Faithlessness,10257,PS4,2016,Role-Playing,Square Enix,0.08,0.1,0.15,0.04,0.37,63,4,3.9,37,E10+
5115,Theatrhythm Final Fantasy: Curtain Call,10213,3DS,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37,83,52,8.3,67,T
5116,NBA 2K7,10205,PS3,2006,Sports,Take-Two Interactive,0.3,0.04,0,0.03,0.37,80,20,7.4,8,E
5117,Kileak: The DNA Imperative,10296,PS,1994,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02,0.37,80,20,7.4,8,E
5118,Petz: Catz 2,10249,PS2,2006,Simulation,Ubisoft,0.18,0.14,0,0.05,0.37,80,20,7.4,8,E
5119,Just Dance 4,10231,WiiU,2012,Misc,Ubisoft,0.21,0.14,0,0.03,0.37,66,14,7.8,37,E10+
5120,Phantasy Star Portable 2: Infinity,10245,PSP,2011,Role-Playing,Sega,0,0,0.37,0,0.37,66,14,7.8,37,E10+
5121,"Monsters, Inc. Scream Arena",10234,GC,2002,Platform,THQ,0.29,0.07,0,0.01,0.37,39,7,4.7,14,E
